Set,Time,antennaSTR,clientRSSI,bssidRSSI,bssidArray,clientArray
0,2.519318103790283,0,-36,-37,[-37],[-36]
0,3.5502781867980957,1,-35,-1,[-1],[-35]
0,5.5821921825408936,2,-35,-1,[-1],[-35]
0,6.612690210342407,3,-35,-1,[-1],[-35]
0,7.6468729972839355,4,-107,-1,[-1],"[-71, -36]"
0,9.676039218902588,5,-36,-1,[-1],[-36]
0,10.454724073410034,6,-36,-1,[-1],[-36]
0,11.491128206253052,7,-57,-1,[-1],[-57]
0,12.52594518661499,8,-36,-1,[-1],[-36]
0,13.553677082061768,9,-119,-1,[-1],"[-83, -36]"
0,16.589872121810913,10,-36,-1,[-1],[-36]
0,18.374107122421265,11,-35,-1,[-1],[-35]
0,19.40043616294861,12,-36,-1,[-1],[-36]
0,21.432471990585327,13,-36,-1,[-1],[-36]
0,22.463199138641357,14,-36,-1,[-1],[-36]
0,25.500270128250122,15,-125,-1,[-1],"[-36, -89]"
0,26.535369157791138,16,-35,-1,[-1],[-35]
0,29.568373203277588,17,-36,-1,[-1],[-36]
0,32.60608506202698,18,-36,-1,[-1],[-36]
0,34.3864951133728,19,-34,-1,[-1],[-34]
0,36.42101311683655,20,-35,-1,[-1],[-35]
0,38.457555055618286,21,-35,-1,[-1],[-35]
0,42.497894048690796,22,-35,-1,[-1],[-35]
0,44.52942609786987,23,-36,-1,[-1],[-36]
0,45.55952501296997,24,-35,-1,[-1],[-35]
0,47.59311008453369,25,-35,-1,[-1],[-35]
0,48.62343215942383,26,-36,-1,[-1],[-36]
0,50.659088134765625,27,-36,-1,[-1],[-36]
0,54.44547915458679,28,-35,-1,[-1],[-35]
0,55.476070165634155,29,-34,-1,[-1],[-34]
0,57.51055121421814,30,-36,-1,[-1],[-36]
1,58.548816204071045,0,-36,-1,[-1],[-36]
1,59.5771861076355,1,-40,-8,[-8],[-40]
1,66.6150290966034,2,-36,-39,[-39],[-36]
1,67.39602708816528,3,-38,-1,[-1],[-38]
1,68.42583012580872,4,-38,-1,[-1],[-38]
1,71.4583261013031,5,-39,-1,[-1],[-39]
1,73.4899492263794,6,-38,-1,[-1],[-38]
1,74.51971006393433,7,-38,-1,[-1],[-38]
1,76.55187511444092,8,-38,-1,[-1],[-38]
1,77.58328318595886,9,-38,-1,[-1],[-38]
1,79.61458611488342,10,-38,-1,[-1],[-38]
1,80.64301013946533,11,-38,-1,[-1],[-38]
1,82.67594814300537,12,-38,-1,[-1],[-38]
1,83.45830512046814,13,-40,-1,[-1],[-40]
1,84.48760604858398,14,-40,-1,[-1],[-40]
1,86.52114605903625,15,-40,-1,[-1],[-40]
1,87.5525541305542,16,-40,-1,[-1],[-40]
1,89.58533811569214,17,-40,-1,[-1],[-40]
1,90.61632704734802,18,-40,-1,[-1],[-40]
1,92.65188121795654,19,-40,-1,[-1],[-40]
1,93.42759799957275,20,-40,-1,[-1],[-40]
1,95.45896601676941,21,-40,-1,[-1],[-40]
1,96.4842140674591,22,-40,-1,[-1],[-40]
1,97.5119981765747,23,-40,-1,[-1],[-40]
1,99.54664516448975,24,-40,-1,[-1],[-40]
1,100.57512617111206,25,-40,-1,[-1],[-40]
1,102.61051821708679,26,-40,-1,[-1],[-40]
1,103.64007902145386,27,-40,-1,[-1],[-40]
1,105.42038202285767,28,-40,-1,[-1],[-40]
1,106.44689917564392,29,-40,-1,[-1],[-40]
1,108.48590421676636,30,-40,-1,[-1],[-40]
2,109.51896810531616,0,-40,-1,[-1],[-40]
2,111.5520601272583,1,-40,-1,[-1],[-40]
