Set,Clock,antennaSTR,clientRSSI,bssidRSSI
0,7.169417858123779,2,-30,-47
0,36.15869402885437,10,-31,-2
0,40.159777879714966,14,-21,-2
1,73.22095203399658,2,-31,-2
1,79.1840250492096,10,-30,-38
1,136.1641809940338,14,-30,-2
2,143.24665594100952,2,-30,-36
2,199.14782905578613,10,-29,-2
2,207.23452997207642,14,-29,-34
3,262.15517497062683,2,-30,-2
3,267.21645188331604,10,-29,-38
3,325.1483738422394,14,-30,-2
4,331.16806197166443,2,-30,-36
4,388.19001388549805,10,-31,-2
4,395.1711208820343,14,-29,-35
5,451.1469728946686,2,-31,-2
5,514.1556689739227,10,-30,-2
5,515.2848589420319,14,-1,-30
6,577.1488039493561,2,-29,-2
6,645.149080991745,10,-30,-2
6,708.1827929019928,14,-31,-2
7,709.2122139930725,2,-30,-37
7,771.1768100261688,10,-31,-2
7,775.2327089309692,14,-31,-32
8,834.1476938724518,2,-30,-2
8,839.2325880527496,10,-30,-17
8,843.1856470108032,14,-29,-35
9,897.1488890647888,2,-30,-2
9,960.243332862854,10,-30,-2
9,1023.2236909866333,14,-29,-2
10,1028.1644468307495,2,-29,-18
10,1086.203495979309,10,-29,-2
10,1092.2012300491333,14,-30,-37
11,1149.150349855423,2,-30,-2
11,1150.184298992157,10,-1,-36
11,1212.1508040428162,14,-30,-2
12,1275.1542830467224,2,-29,-2
12,1276.1833908557892,10,-34,-42
12,1338.1502389907837,14,-30,-2
13,1344.2185878753662,2,-29,-39
13,1401.1507120132446,10,-30,-2
13,1464.1705808639526,14,-30,-2
14,1527.153645992279,2,-30,-2
14,1590.1513268947601,10,-30,-2
14,1596.1527800559998,14,-29,-39
15,1653.1613018512726,2,-29,-2
15,1716.1529219150543,10,-30,-2
15,1779.1554470062256,14,-29,-2
16,1842.1493639945984,2,-30,-2
16,1847.2101819515228,10,-1,-37
16,1852.276340007782,14,-30,-37
17,1864.234629869461,2,-30,-37
17,1910.1610629558563,10,-30,-2
17,1916.2275488376617,14,-30,-40
18,1973.2051930427551,2,-30,-2
18,2036.1498019695282,10,-29,-2
18,2099.180428981781,14,-29,-2
19,2163.2126319408417,2,-29,-2
19,2168.1749589443207,10,-29,-38
19,2225.1543278694153,14,-29,-2
20,2229.3278889656067,2,0,-34
20,2288.1507959365845,10,-30,-2
20,2292.2201550006866,14,-29,-37
21,2351.1535449028015,2,-30,-2
21,2368.16277384758,10,-29,-38
21,2414.1710879802704,14,-30,-2
22,2420.25559091568,2,-30,-25
22,2478.1503880023956,10,-30,-2
22,2488.1727838516235,14,-29,-37
23,2545.152732849121,2,-29,-2
23,2556.204181909561,10,-30,-34
23,2608.153130054474,14,-30,-2
24,2612.2231738567352,2,-30,-36
24,2671.1575009822845,10,-30,-2
24,2734.156350851059,14,-29,-2
25,2798.1520190238953,2,-30,-2
25,2860.181062936783,10,-29,-2
25,2923.1823818683624,14,-29,-2
26,2924.224618911743,2,-30,-42
26,2986.216500043869,10,-29,-2
26,3049.160171031952,14,-29,-2
27,3113.1607229709625,2,-29,-2
27,3117.2398760318756,10,-32,-35
27,3120.2122728824615,14,-30,-35
28,3175.177083969116,2,-30,-2
28,3180.2362208366394,10,-30,-38
28,3238.164612054825,14,-29,-2
29,3244.163209915161,2,-29,-35
29,3301.1616270542145,10,-29,-2
29,3364.183557987213,14,-30,-2
30,3428.1515669822693,2,-29,-2
30,3490.1600868701935,10,-30,-2
30,3553.1625950336456,14,-29,-2
31,3557.1610000133514,2,-30,-39
31,3560.21630191803,10,-30,-39
31,3616.1662249565125,14,-29,-2
32,3679.1660029888153,2,-30,-2
32,3684.2589678764343,10,-30,-37
32,3743.189241886139,14,-30,-2
33,3805.169229030609,2,-29,-2
33,3868.1661479473114,10,-30,-2
33,3931.171485900879,14,-30,-2
34,3994.174481868744,2,-29,-2
34,4000.1696088314056,10,-30,-38
34,4008.236479997635,14,-30,-39
35,4058.23259305954,2,-30,-2
35,4120.187716007233,10,-29,-2
35,4183.172374010086,14,-29,-2
36,4188.263370990753,2,-29,-37
36,4246.171351909637,10,-30,-2
